ep,,neutron,,proton,,pim,,pip,,kaon0L,,sigma0,,kaon0S,,kaonP,,pi0,,mum,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.6194778036355393,112201.84543019629,1.5963385442879419,915247.3108773893,1.57352990097099,41983.33390972487,1.6078665490525605,5573.831635270137,1.6078665490525605,5285.388593079237,1.6078665490525605,59.303035395920034,35.7375684340883,1.0452754953204315,1.5963385442879419,10.269243730546744,1.57352990097099,30.522168432346817,1.57352990097099,0.5101434415464303,1.6078665490525605,36.76077133212018
1.8434229924091106,109260.0861117378,1.830206106311056,822971.1585129474,1.8701437922427726,43113.70885398935,1.8567353246307063,7465.809825645264,1.8701437922427726,5011.872336272725,1.8701437922427726,54.75976030421944,41.567126199773114,2.0855988045732854,1.8434229924091106,4.16131669890922,1.8701437922427726,24.67787114890471,1.7655295872853916,0.5101434415464303,1.830206106311056,43.113708853989266
2.1287516617963727,98244.37458374248,2.1287516617963727,683306.2366443819,2.144124503220072,38766.94146125798,2.1287516617963727,4506.570337745468,2.1596083600607785,4752.510411057897,2.144124503220072,53.32404385469168,48.000968490811175,6.1988009697475395,2.08329129899,9.233888272097929,2.1752040340195227,26.72533002535228,2.0241840573760617,0.5238787338780241,2.1134890398366464,26.024633095283782
2.475996349249774,93160.27658125524,2.440619068041981,523878.73387802514,2.440619068041981,34858.4195191906,2.458244068920197,15709.191942587231,2.458244068920197,4052.213393797469,2.440619068041981,46.690741303710894,55.033229608518965,15.297321160913565,2.440619068041981,6.1988009697475395,2.5118864315095797,14.505692324279092,2.371373705661655,0.5379838403443686,2.458244068920197,98.24437458374229
2.8183829312644537,86023.15853490504,2.8183829312644537,351685.00071697443,2.7981758239772967,28183.82931264449,2.8183829312644537,3190.407472637509,2.8387359647587544,2945.9866144801026,2.8387359647587544,30.522168432346817,64.0103202470931,21.608040471942566,2.8183829312644537,7.270067807853814,2.859235978270507,14.896248995834371,2.7187858440036425,0.5238787338780241,2.7981758239772967,14.896248995834371
3.2546178349804586,79432.82347242822,3.2781211513934587,201301.10267451266,3.2081155328236366,18424.029289950093,3.2781211513934587,3190.407472637509,3.231283031522562,1977.6700935275228,3.231283031522562,26.72533002535228,73.38799116412525,37.750532053243916,3.1622776601683795,4.0522133937974685,3.3496543915782766,7.270067807853814,3.0947459267559285,0.5101434415464303,3.231283031522562,13.394394223182168
3.78551524925863,75322.21397586247,3.731427432234993,95668.5586218058,3.731427432234993,11728.183955791515,3.78551524925863,2868.7473895638623,3.758374042884441,1131.9992884026396,3.78551524925863,10.269243730546744,84.13951416451951,33.94448552769383,3.731427432234993,3.10675990983383,3.840387080444008,8.991789964660105,3.731427432234993,1.0452754953204315,3.78551524925863,11.728183955791517
4.340102636447438,67728.15277441413,4.308985175921016,36760.771332120254,4.308985175921016,6365.699799548725,4.340102636447438,4880.468774311454,4.308985175921016,582.6189623389696,4.308985175921016,3.10675990983383,97.86445908077357,22.189823414589696,4.278090819876382,2.030917620904731,,,4.308985175921016,3.1904074726375025,4.278090819876382,33.05451347573238
4.904841751712231,64223.25422229343,5.011872336272722,11121.256211835887,5.084520468600939,3455.1072945922183,4.9402622076585985,1778.2794100389192,5.011872336272722,229.89973016685417,5.011872336272722,0.5101434415464303,111.39738599948024,20.489835018790384,,,,,4.904841751712231,10.545736679737383,4.904841751712231,0.5238787338780241
5.704925797046322,59303.03539592004,5.746124082964727,2381.897545702919,5.829415347136074,2141.7522448300083,5.704925797046322,19429.496147158297,5.746124082964727,86.02315853490504,5.746124082964727,3.10675990983383,129.56866975170215,10.269243730546744,,,,,5.704925797046322,13.394394223182168,5.583094772238892,124.78254704700207
6.58794553441924,54759.76030421933,6.58794553441924,292.0011859934602,6.58794553441924,1778.2794100389192,6.635520572797896,2648.9692876105296,6.635520572797896,18.920084727722998,73.38799116412525,46.690741303710894,147.4857292764125,10.269243730546744,,,,,6.780317017152459,16.56650016779771,6.635520572797896,0.5238787338780241
7.553095919585774,49238.826317067316,7.607640819262703,41.98333390972487,7.662579616503285,1875.326640126922,7.607640819262703,4052.213393797469,7.717915155850127,6.365699799548726,,,172.78259805078628,5.285388593079237,,,,,7.717915155850127,33.94448552769383,7.773650302387758,7.079457843841359
8.722179096569104,45466.58208610357,8.848608897386656,11.121256211835865,8.78516656407272,2199.4175812605026,8.78516656407272,4388.4150147690825,8.78516656407272,3.10675990983383,,,195.2652671786817,17.470594847442015,,,,,8.976871324473146,53.32404385469168,8.78516656407272,14.896248995834371
10,41983.33390972487,10.144952080687363,7.270067807853814,10,1875.326640126922,10.072215287952975,5573.831635270137,72.86181745132285,8.085228676856234,,,225.48881277351538,12.701240918444519,,,,,10.21821414426496,53.32404385469168,10,24.030855432419255
11.715207898315608,37750.532053243915,11.547819846894587,4.0522133937974685,11.547819846894587,915.2473108773873,11.631212760441839,567.34359182256,,,,,262.27083564681914,15.297321160913565,,,,,11.799809609496183,106.39545518501413,,
13.431514955848378,33054.513475732376,13.431514955848378,2.0855988045732854,13.528511027866507,262.56133338848497,13.431514955848378,46.690741303710894,,,,,302.8656361143965,18.424029289950095,,,,,13.335214321633247,154.3339737615446,,
15.510471498100731,29721.924255781385,15.735299009709905,0.5101434415464303,15.510471498100731,31.343958681656993,15.510471498100731,10.269243730546744,,,,,347.2362041195987,17.470594847442015,,,,,15.399265260594929,242.4462017082326,,
17.911213060046045,26725.330025352283,17.78279410038923,0.49676826739340607,17.911213060046045,6.365699799548726,73.38799116412525,5.146813856756934,,,,,392.4189758484536,16.56650016779771,,,,,17.911213060046045,370.8777411774465,,
20.388017608333854,24030.855432419252,21.134890398366476,0.5101434415464303,73.38799116412525,88.3392781466404,,,,,,,459.72698853087275,11.121256211835865,,,,,20.53525026457146,647.9454754045644,,
23.713737056616566,21041.51098066507,24.4061906804198,0.5101434415464303,84.13951416451951,0.5238787338780241,,,,,,,530.884444230989,5.146813856756934,,,,,23.713737056616566,939.8897709127397,,
27.384196342643627,18424.029289950093,27.384196342643627,0.49676826739340607,36.51741272548379,0.5238787338780241,,,,,,,617.482992205955,9.233888272097929,,,,,26.992928231542944,1363.3751835597418,,
31.17094723580127,15709.191942587231,31.62277660168381,0.5101434415464303,42.47417968709681,0.5238787338780241,,,,,,,702.8699885226708,4.16131669890922,,,,,30.94745926755931,1925.8186341850724,,
36.2555919244111,13755.029890088555,37.04674022107156,0.5238787338780241,47.65681344026024,0.5238787338780241,,,,,,,805.8421877614818,4.16131669890922,,,,,36.51741272548379,2579.517398862521,,
41.567126199773114,11728.183955791515,42.47417968709681,0.5238787338780241,53.85797247105718,0.5238787338780241,,,,,,,930.572040929699,1.0452754953204315,,,,,41.86730439856252,3106.7599098338296,,
47.65681344026024,9737.815424766006,49.04841751712232,0.5238787338780241,61.30557921498212,0.5101434415464303,,,,,,,,,,,,,47.315125896148054,4052.213393797469,,
55.033229608518965,8526.469262158751,56.23413251903494,0.5101434415464303,20.983358470946484,0.5238787338780241,,,,,,,,,,,,,55.033229608518965,4880.468774311454,,
63.55138211119618,7079.457843841374,62.19421634147768,0.49676826739340607,23.884986491615024,0.5101434415464303,,,,,,,,,,,,,64.47257261795373,5723.903557562119,,
71.82076058301712,5878.0160722749115,71.82076058301712,4.16131669890922,26.799395624345166,0.5101434415464303,,,,,,,,,,,,,73.38799116412525,6713.099386829804,,
84.13951416451951,4880.468774311454,82.34268041029793,0.5101434415464303,30.72557365267447,0.5238787338780241,,,,,,,,,,,,,83.53625469578274,7666.822074546207,,
98.57119009006165,4052.213393797469,96.46616199111998,0.5238787338780241,95.08784390885371,1.0452754953204315,,,,,,,,,,,,,98.57119009006165,8302.918389984281,,
111.39738599948024,3276.3071936272217,109.01844923851267,0.5238787338780241,110.59869434355599,1.0178699841461236,,,,,,,,,,,,,113.01211428785615,8526.469262158751,,
129.56866975170215,2648.9692876105296,130.5043536312824,0.5379838403443686,127.71737975811435,0.5238787338780241,,,,,,,,,,,,,133.3521432163324,8526.469262158751,,
145.37843856076637,2141.7522448300083,148.55080171727752,0.5101434415464303,146.42829314104824,3.10675990983383,,,,,,,,,,,,,149.62356560944357,8526.469262158751,,
170.31386316718778,1686.254326315308,169.0927549681095,0.5238787338780241,170.31386316718778,1.0178699841461236,,,,,,,,,,,,,175.28711776018943,8085.228676856234,,
196.6753809283339,1225.918329359914,200.96711592305974,0.5101434415464303,193.86526359522097,5.146813856756934,,,,,,,,,,,,,200.96711592305974,7079.457843841374,,
225.48881277351538,965.1957137350706,225.48881277351538,0.5101434415464303,225.48881277351538,39.81071705534961,,,,,,,,,,,,,232.07320498294783,6365.699799548725,,
260.39041873986974,720.5967643273984,262.27083564681914,0.5101434415464303,258.52348395621937,54.75976030421944,,,,,,,,,,,,,258.52348395621937,4752.510411057897,,
298.5382618917963,567.34359182256,311.7094723580128,0.5101434415464303,302.8656361143965,30.522168432346817,,,,,,,,,,,,,296.39781652489864,3842.5133462543117,,
342.2748588242436,434.9722373637536,362.555919244111,0.5238787338780241,347.2362041195987,12.043957955871118,,,,,,,,,,,,,337.3844017221355,3276.3071936272217,,
400.98211294926404,292.0011859934602,400.98211294926404,0.5238787338780241,403.87781682432615,2.0855988045732854,,,,,,,,,,,,,384.0387080444012,2945.9866144801026,,
463.04692021652363,229.89973016685417,443.480981473089,0.5238787338780241,456.4308599328058,2.0855988045732854,,,,,,,,,,,,,453.1583637600818,2648.9692876105296,,
530.884444230989,128.14223889440828,527.0781343067205,0.5238787338780241,530.884444230989,0.5379838403443686,,,,,,,,,,,,,538.5797247105721,2141.7522448300083,,
608.6603340211327,106.39545518501413,608.6603340211327,0.5238787338780241,613.0557921498214,0.5379838403443686,,,,,,,,,,,,,613.0557921498214,1642.0433388871602,,
702.8699885226708,51.92596967591162,697.8305848598677,0.49676826739340607,718.2076058301709,2.1417522448300086,,,,,,,,,,,,,697.8305848598677,1327.6295892211253,,
805.8421877614818,35.79696061042163,823.4268041029798,0.5238787338780241,817.5230379436509,0.5238787338780241,,,,,,,,,,,,,835.3625469578262,1073.4188827013527,,
930.572040929699,16.56650016779771,923.9000699704306,0.5238787338780241,910.6992942127662,0.5101434415464303,,,,,,,,,,,,,950.8784390885367,801.3941241504921,,
